"popid"	"lower_cdl"	"med_cdl"	"upper_cdl"	"order.x"	"lower_r"	"med_r"	"upper_r"	"lower_s"	"med_s"	"upper_s"	"lower_b"	"med_b"	"upper_b"	"lower_w"	"med_w"	"upper_w"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"	"day"
"34"	"fimmuro.Kagoshima5.Haplothrips.brevitubus"	12.1700838098034	13.0820589931075	13.9156408823078	"Thysanoptera"	0.121553187132059	0.336673884090302	0.63382540926563	0.151163120846458	0.212893498589564	0.249667187888873	0.0206620928835846	0.0708455460983896	0.155300216878309	0.0891917418185495	0.13275537545034	0.181562565186709	199.13687331717	223.390930030499	265.555439338346	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	31.633708	130.402436	20	271
"35"	"fimmuro.Kyoto1.Haplothrips.brevitubus"	14.0598969429293	14.4923685175693	14.941375172139	"Thysanoptera"	0.2977201414436	0.623916713211262	0.849357542912758	0.23173260187164	0.247936170934435	0.250157051863945	0.0717251571628099	0.153451383575474	0.211950039931823	0.0376561581283237	0.0926538904852916	0.171435179787021	174.080752323273	192.354770272978	210.06669214616	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	35.474781	135.386039	17	333
"36"	"fimmuro.Kyoto2.Haplothrips.brevitubus"	13.0576205774987	13.6643858856596	14.8029214769385	"Thysanoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	35.474781	135.386039	17	333
"37"	"fimmuro.Kyoto3.Haplothrips.brevitubus"	14.0108002720597	14.4103881812986	14.9347375974889	"Thysanoptera"	0.405992180536025	0.745685009340105	0.937987948892573	0.237423917113935	0.249574753390887	0.250217913512312	0.0972694341724294	0.185569016510089	0.234700979566171	0.0155174997045748	0.0632172160299019	0.14315585356458	174.096350893893	192.468139753563	210.354991252856	"fimmuro"	2014	"3"	"Japan"	"Haplothrips"	"brevitubus"	"pop level"	35.474781	135.386039	17	333
"38"	"gomi. Fukui.Hyphantria.cunea"	14.1331854473811	14.1618181421582	14.1893675791516	"Lepidoptera"	0.667786482846056	0.740996516041228	0.803625845711378	0.245039254537065	0.247886690525538	0.249477348147437	0.164231414094849	0.183667583571051	0.200226725405868	0.0489396357286585	0.0641530270097777	0.0817573638256671	205.608420894352	206.656624113201	207.745690617217	"gomi"	2009	"3"	"Japan"	"Hyphantria"	"cunea"	"pop level"	36.064167	136.219722	4	221
"39"	"gomi. Kanazawa.Hyphantria.cunea"	14.4348478909925	14.462948838997	14.5009688087197	"Lepidoptera"	0.821149483490898	0.861710413950858	0.886058910703573	0.24970355075816	0.250162324798531	0.250220968641724	0.205119665874869	0.215569249161343	0.221709908066078	0.0285104931858358	0.0345952690768307	0.0446667569531819	194.115452958046	195.396689591565	196.546085766266	"gomi"	2009	"3"	"Japan"	"Hyphantria"	"cunea"	"pop level"	36.56666667	136.65	6	222
"40"	"gomi. Takaoka.Hyphantria.cunea"	14.5095441678122	14.5196466252081	14.5398245375109	"Lepidoptera"	0.870721325222026	0.90560584306503	0.934683962783149	0.249187132277747	0.249726160786717	0.250017419632532	0.217011544682454	0.226160381557395	0.233654199361674	0.0163296163481615	0.0235767765837977	0.0322139708323577	201.429803566534	201.939798288656	201.988914826506	"gomi"	2009	"3"	"Japan"	"Hyphantria"	"cunea"	"pop level"	36.75	137.0166667	5	215
"41"	"gomi_1981. Fukuoka.Tetranychus.urticae"	10.1374173352229	11.4969363915431	12.6325479351731	"Trombidiformes"	0.000311137595093769	0.0120546910834349	0.0263650457232059	0.0102792918302135	0.0198631004333395	0.0338489311500979	6.37230091596808e-06	0.000220412980955308	0.000770642378958089	0.0102073060265862	0.0196273945065551	0.0333644871988289	251.771585206743	285.326707228394	334.230185544869	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	33.590278	130.401667	5	356
"42"	"gomi_1981. Fukushima.Tetranychus.urticae"	12.1554632984206	12.2464895951739	12.291518010634	"Trombidiformes"	0.378657301057235	0.446962087637638	0.504163363065685	0.210274638054496	0.219452078013521	0.228350640411561	0.0814875221774249	0.0978573696930138	0.113743574435473	0.111439163637112	0.120816295630623	0.13583191339458	263.33497946465	264.006371570655	265.980448284151	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	37.75	140.473333	6	356
"43"	"gomi_1981. Ishikawa.Tetranychus.urticae"	9.3110044254716	9.99563674421234	11.7071141212553	"Trombidiformes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"gomi_1981"	1981	"6"	"japan"	"Tetranychus"	"urticae"	"global average"	35.71666667	139.931056	9	356
