"popid"	"lower_b"	"med_b"	"upper_b"	"order"	"lower_w"	"med_w"	"upper_w"	"order.x"	"order.y"	"lower_e"	"med_e"	"upper_e"	"ID"	"PY"	"pops_left_drc"	"region"	"genus"	"spec"	"nmethod"	"degN"	"degE"	"n_pp"
"40"	"gomi_1996. UW.Hyphantria.cunea"	0.221130854356362	0.226420254694961	0.231147064988789	"Lepidoptera"	0.0187435506569414	0.0233085739502616	0.0283358516202518	"Lepidoptera"	"Lepidoptera"	14.2345347880852	14.2431133189538	14.2472213543929	"gomi_1996"	1996	"6"	"Japan"	"Hyphantria"	"cunea"	"global average"	35.9	139.7	4
"41"	"hashimoto.Iwamizawa.Pieris.rapae"	0.174220897795039	0.211389039599164	0.231218488553768	"Lepidoptera"	0.0189464225673466	0.0386400922542851	0.0749542451330735	"Lepidoptera"	"Lepidoptera"	14.4548460904586	14.5557565029673	14.6855115706364	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	43.16666667	141.77575	8
"42"	"hashimoto.Kagoshima.Pieris.rapae"	0.218086699287426	0.238407989661374	0.247749767549165	"Lepidoptera"	0.00249550123787532	0.0118045747738126	0.0319418690939418	"Lepidoptera"	"Lepidoptera"	11.8513279920154	11.977472308497	12.0032147079365	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	31.596536	130.557117	6
"43"	"hashimoto.Matsuyama.Pieris.rapae"	0.185796501396538	0.216400826821851	0.230257406881128	"Lepidoptera"	0.0199710786966449	0.0337088215814458	0.0630439838157137	"Lepidoptera"	"Lepidoptera"	11.429106958925	11.6659201632929	11.9468541922853	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	33.839167	132.765556	6
"44"	"hashimoto.Nagaoka.Pieris.rapae"	0.155162940037198	0.193934214503724	0.223783609873312	"Lepidoptera"	0.0261316705365214	0.0540555326078931	0.0877814862813496	"Lepidoptera"	"Lepidoptera"	13.0122205393629	13.0662592637982	13.3890360390844	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	37.38333333	138.838889	5
"45"	"hashimoto.Naze.Pieris.rapae"	0.165925840039461	0.203372954865723	0.227273481713652	"Lepidoptera"	0.0228985921779933	0.0465448158197831	0.0833408844813134	"Lepidoptera"	"Lepidoptera"	10.9927446385348	11.0606990915806	11.349932888382	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	28.377247	129.493742	5
"46"	"hashimoto.Okayama.Pieris.rapae"	0.186066118805273	0.217754259111955	0.237517102820199	"Lepidoptera"	0.0126466843977736	0.0319907974506696	0.0620526192397954	"Lepidoptera"	"Lepidoptera"	11.9670861862715	12.0118359033618	12.1209742135195	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	34.655278	133.919444	5
"47"	"hashimoto.Sendai.Pieris.rapae"	0.178002111370041	0.22251931133679	0.240220165998703	"Lepidoptera"	0.0100197578359517	0.027523675618819	0.0686939457810107	"Lepidoptera"	"Lepidoptera"	13.0145803647862	13.1741240867492	13.2939309999348	"hashimoto"	2008	"7"	"Japan"	"Pieris"	"rapae"	"global average"	38.25	140.869444	5
"48"	"hou. CC.Laodelphax.striatellus"	0.20518989898094	0.215785674032256	0.224980840252241	"Hemiptera"	0.0248028559760345	0.033932669405733	0.0443052669616991	"Hemiptera"	"Hemiptera"	12.4211598947474	13.0876793870069	13.9562195671278	"hou"	2016	"3"	"Asia"	"Laodelphax"	"striatellus"	"global average"	43.89	125.32	6
"49"	"hou. HN.Laodelphax.striatellus"	0.0179617020561834	0.0239569772198066	0.0322331426221808	"Hemiptera"	0.103241550464868	0.112752382527888	0.122948567389577	"Hemiptera"	"Hemiptera"	12.0089949316452	12.2534224555604	13.8101449034965	"hou"	2016	"3"	"Asia"	"Laodelphax"	"striatellus"	"global average"	21.02	105.85	5
