"row"	"set"	"popid"	"ID"	"PY"	"region"	"pops_left"	"genus"	"spec"	"order"	"pop"	"degN"	"degE"	"nmethod"	"perc"	"n2"	"dl2"	"number"	"nslop"	"inc2"	"b"	"bse"	"c"	"cse"	"d"	"dse"	"e"	"ese"	"invvar_b"	"invvar_e"
"b:lankinen-Dietikon1-Drosophila-littoralis"	"newsearch"	"lankinen-Dietikon1-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"Dietikon1"	47.4166666667	8.5	"global average"	0	30	21	2	"n"	0	26.1723627289881	2.60249466227438	0.00811201368971487	0.00540917238807274	0.970194496015013	0.0044639027693714	14.1804840400501	0.0912291927319987	0.147645530669808	120.152368488564
"b:lankinen-Hollola1-Drosophila-littoralis"	"newsearch"	"lankinen-Hollola1-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"Hollola1"	61.0833333333	25.4166666667	"global average"	1.1111111111	30	21	4	"x"	0	16.6354189739098	2.30928578796681	0.00811201368971487	0.00540917238807274	0.971607763782785	0.0217036546505541	15.9146664867162	0.259854113884692	0.187518721968628	14.8095139954914
"b:lankinen-Kuoio3-Drosophila-littoralis"	"newsearch"	"lankinen-Kuoio3-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"Kuoio3"	62.9166666667	27.75	"global average"	6.7802197802	30	21	3	"x"	2	21.194055999807	3.7871261512206	0.00811201368971487	0.00540917238807274	0.989261776532855	0.0092167091741893	18.9085782554712	0.17300813596802	0.0697237049006805	33.4092669050395
"b:lankinen-Oulu1-Drosophila-littoralis"	"newsearch"	"lankinen-Oulu1-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"Oulu1"	65	25.4166666667	"global average"	7.2222222222	30	21	2	"n"	2	49.3432260409426	6.11377266100424	0.00811201368971487	0.00540917238807274	0.976019830274178	0.00563852210557077	19.7251020781865	0.0521932400683046	0.0267535506770874	367.089095702608
"b:lankinen-Oulu7-Drosophila-littoralis"	"newsearch"	"lankinen-Oulu7-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"Oulu7"	65	25.4166666667	"global average"	19.2530981355	30	21	3	"x"	5	26.0248151556789	3.36119921837499	0.00811201368971487	0.00540917238807274	0.991240644072036	0.00783720558828234	19.6769764652791	0.0738499508945964	0.0885139031951226	183.35787970182
"b:lankinen-Oulu8-Drosophila-littoralis"	"newsearch"	"lankinen-Oulu8-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"Oulu8"	65	25.4166666667	"global average"	27.2483671077	30	21	2	"n"	8	34.2221619762354	3.16286715564937	0.00811201368971487	0.00540917238807274	1	0.00200664610255681	20.3079316567929	0.0670368019223575	0.0999627274547509	222.522240950012
"b:lankinen-paltamo1-Drosophila-littoralis"	"newsearch"	"lankinen-paltamo1-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"paltamo1"	64.3333333333	27.8333333333	"global average"	7.1247106645	30	21	2	"n"	2	28.2969798483331	7.06174635786762	0.00811201368971487	0.00540917238807274	1	0.00117854562332661	17.9651683121301	0.153595221590811	0.020052834557635	42.3881624761437
"b:lankinen-Ticino2-Drosophila-littoralis"	"newsearch"	"lankinen-Ticino2-Drosophila-littoralis"	"lankinen"	1986	"Europe"	9	"Drosophila"	"littoralis"	"Diptera"	"Ticino2"	46.1666666667	8.8333333333	"global average"	4.027314765	30	19.5	3	"x"	1	19.7798363168951	4.58731740262983	0.00811201368971487	0.00540917238807274	0.908404997354389	0.0187045646067788	12.7423805384805	0.136538376932459	0.0475206550788167	53.6402172399947
"b:lumme-Ku-Drosophila-littoralis"	"newsearch"	"lumme-Ku-Drosophila-littoralis"	"lumme"	1977	"Europe"	3	"Drosophila"	"littoralis"	"Diptera"	"Ku"	47.37174	27.683056	"global average"	14.5466590503	128	24	2	"n"	18	17.5423715392423	2.96573035531619	0.10762339276516	0.0168318655402418	0.988700254546827	0.00460530836457518	14.9566883172747	0.137904219835905	0.11369377200883	52.5829429118407
"b:lumme-P-Drosophila-littoralis"	"newsearch"	"lumme-P-Drosophila-littoralis"	"lumme"	1977	"Europe"	3	"Drosophila"	"littoralis"	"Diptera"	"P"	64.416667	27.833056	"global average"	0.5037911738	128	24	2	"n"	0	22.3916053275219	5.76346781222141	0	0.00297273378362693	0.988700254546827	0.00460530836457518	16.2727162466524	0.377208791691743	0.0301045580469128	7.02807499702656
"b:lumme-R-Drosophila-littoralis"	"newsearch"	"lumme-R-Drosophila-littoralis"	"lumme"	1977	"Europe"	3	"Drosophila"	"littoralis"	"Diptera"	"R"	66.5	25.716667	"global average"	1.0033159438	128	24	2	"n"	1	26.6140096396749	8.91640769507651	0.00252824851599631	0.00168926509944794	0.988700254546827	0.00460530836457518	16.4670820660073	0.349387821637314	0.012578248310311	8.19189682756364
"b:nechols-loveland-Chrysopa-oculata"	"newsearch"	"nechols-loveland-Chrysopa-oculata"	"nechols"	1987	"US"	3	"Chrysopa"	"oculata"	"Neuroptera"	"loveland"	40.431269	-105.339661	"accurate"	0	20	16	2	"n"	0	32.2341311129968	10.2157635792682	NA	NA	NA	NA	13.3215588277502	0.239760656154514	0.00958204779513089	17.3957902714672
