row	set	popid	ID	PY	region	pops_left	genus	spec	order	pop	degN	degE	nmethod	perc	n2	dl2	number	b	bse	c	cse	d	dse	e	ese	use
b:lankinen-Kuoio3-drosophila-littoralis	newsearch	lankinen-Kuoio3-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Kuoio3	62.9166666667	27.75	global average	6.7802197802	30	21	2	22.6450420006	3.778082162	0.02053084	0.0026280721	1	0.0015275104	18.9293618003	0.1566912955	y
b:lankinen-Oulu1-drosophila-littoralis	newsearch	lankinen-Oulu1-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Oulu1	65	25.4166666667	global average	7.2222222222	30	21	2	52.3749483649	5.7289831004	0.02053084	0.0026280721	0.9904412262	0.005598304	19.7276802717	0.0324226606	y
b:lankinen-Oulu7-drosophila-littoralis	newsearch	lankinen-Oulu7-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Oulu7	65	25.4166666667	global average	19.2530981355	30	21	6	29.8800871195	3.4523138559	0.02053084	0.0026280721	1	0.0011438622	19.7507365248	0.1436221625	y
b:lankinen-Oulu8-drosophila-littoralis	newsearch	lankinen-Oulu8-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Oulu8	65	25.4166666667	global average	27.2483671077	30	21	8	36.4537247856	2.7246825586	0.02053084	0.0026280721	1	0.0018560197	20.3351080263	0.0489685798	y
b:lankinen-paltamo1-drosophila-littoralis	newsearch	lankinen-paltamo1-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	paltamo1	64.3333333333	27.8333333333	global average	7.1247106645	30	21	2	31.5934420496	4.3400635025	0.02053084	0.0026280721	1	0.0011245327	18.0657600134	0.0800643006	y
b:lankinen-Ticino2-drosophila-littoralis	newsearch	lankinen-Ticino2-Drosophila-littoralis	lankinen	1986	Europe	9	Drosophila	littoralis	diptera	Ticino2	46.1666666667	8.8333333333	global average	4.027314765	30	19.5	1	19.9205780455	3.2466348386	0.02053084	0.0026280721	0.9278018561	0.0119116337	12.7417953477	0.0856629067	y
b:lehmann-Emmen-leptinotarsa-decemlineata	newsearch	lehmann-Emmen-Leptinotarsa-decemlineata	lehmann	2015	Europe	3	Leptinotarsa	decemlineata	coleoptera	Emmen	52.9	6.85	accurate	28.0405405405	29	24	8	4.6236596216	1.3032028644	0.1708810032	0.0814648319	0.9703392375	0.0048593027	14.1549368611	1.7641521179	y
b:lehmann-Padua_A-leptinotarsa-decemlineata	newsearch	lehmann-Padua_A-Leptinotarsa-decemlineata	lehmann	2015	Europe	3	Leptinotarsa	decemlineata	coleoptera	Padua_A	45.8	12.1166666667	accurate	28.2094594595	27	14	8	70.0512603695	6.2011938992	0.4844974876	0.1139432404	0.9703392375	0.0048593027	12.3361595448	0.046174404	y
b:lehmann-padua_B-leptinotarsa-decemlineata	newsearch	lehmann-padua_B-Leptinotarsa-decemlineata	lehmann	2015	Europe	3	Leptinotarsa	decemlineata	coleoptera	padua_B	45.8	12.1166666667	accurate	44.6057515247	27	24	12	23.7513259668	3.0407396822	0.4963917768	0.0416636798	0.9703392375	0.0048593027	17.1763202234	0.2099614235	y
b:lumme-Ku-drosophila-littoralis	newsearch	lumme-Ku-Drosophila-littoralis	lumme	1977	Europe	3	Drosophila	littoralis	diptera	Ku	47.37174	27.683056	global average	14.5466590503	128	24	19	16.7618339981	2.4260395167	0.1085520549	0.0193015815	0.9928178892	0.0026924828	14.9335037184	0.1546945773	y
b:lumme-P-drosophila-littoralis	newsearch	lumme-P-Drosophila-littoralis	lumme	1977	Europe	3	Drosophila	littoralis	diptera	P	64.416667	27.833056	global average	0.5037911738	128	24	1	21.8423395624	5.7284072705	0.0015049607	0.00092479	0.9928178892	0.0026924828	16.2542329107	0.3715048889	y
b:lumme-R-drosophila-littoralis	newsearch	lumme-R-Drosophila-littoralis	lumme	1977	Europe	3	Drosophila	littoralis	diptera	R	66.5	25.716667	global average	1.0033159438	128	24	1	25.4899888946	7.5707279415	0.0033956798	0.001768587	0.9928178892	0.0026924828	16.4909082009	0.3270980971	y
b:lushai-C-rhopalosiphum-padi	newsearch	lushai-C-Rhopalosiphum-padi	lushai	1996	Europe	3	Rhopalosiphum	padi	hemiptera	C	53.5	-1.4	accurate	82.5567186499	21	20	17	-37.5958372182	4.7820075195	0	7.13361296064319E-05	0.7643523395	0.0045879384	12.7097321273	0.0390935654	y
b:lushai-N-rhopalosiphum-padi	newsearch	lushai-N-Rhopalosiphum-padi	lushai	1996	Europe	3	Rhopalosiphum	padi	hemiptera	N	56.5	-3.1	accurate	89.0083315531	21	20	19	-53.6493136309	11.3646458661	0	7.13361296064319E-05	0.7643523395	0.0045879384	11.7780461832	0.0377132083	y
b:lushai-S-rhopalosiphum-padi	newsearch	lushai-S-Rhopalosiphum-padi	lushai	1996	Europe	3	Rhopalosiphum	padi	hemiptera	S	50.4	-3.3	accurate	95.7808160649	21	20	20	-139.2777665895	21.7803761226	0	7.13361296064319E-05	0.7643523395	0.0045879384	11.9358883262	0.0107405459	y
b:murata- Amami-Oshima-Asobara-japonica	newsearch	murata- Amami-Oshima-Asobara-japonica	murata	2009	japan	4	Asobara	japonica	hymenoptera	 Amami-Oshima	28.4	129.36944	global average	1.1730660348	100	15	1	122.2909239505	14.1997726248	0.0103591232	0.000426315	0.510008495	0.0659728886	13.9135921915	0.0188281578	n
b:murata- Matsuyama-Asobara-japonica	newsearch	murata- Matsuyama-Asobara-japonica	murata	2009	japan	4	Asobara	japonica	hymenoptera	 Matsuyama	33.8	132.765555	global average	36.1136042538	100	15	36	240.1681361744	16.3904389759	0.2853647922	0.0531135976	0.9466829988	0.035675038	13.5062205128	0.0328525474	n
b:murata- Ogasawara-Asobara-japonica	newsearch	murata- Ogasawara-Asobara-japonica	murata	2009	japan	4	Asobara	japonica	hymenoptera	 Ogasawara	27.1	142.213611	global average	64.3884892086	100	15	64	32.0957329609	409.9688000142	0.6736388672	0.4154727482	1	2.263970887	11.6782770841	5.2156164222	n
b:murata- Tokyo-Asobara-japonica	newsearch	murata- Tokyo-Asobara-japonica	murata	2009	japan	4	Asobara	japonica	hymenoptera	 Tokyo	35.7	139.77444	global average	48.134991119	100	15	48	19.7924323958	8.3144640709	0.3386158995	0.2616537184	1	1.3762988272	12.2113194718	3.6900648419	n
b:musolin-Kochi-Nezara-viridula	newsearch	musolin-Kochi-Nezara-viridula	musolin	2011	japan	3	Nezara	viridula	hemiptera	Kochi	33.6	133.6	accurate	0.8230452675	35	15	0	24.9587464811	9.3800637101	0	0.0057079336	0.7824238515	0.0464123167	12.1443498829	0.1841571164	y
b:musolin-Okinawa-Nezara-viridula	newsearch	musolin-Okinawa-Nezara-viridula	musolin	2011	japan	3	Nezara	viridula	hemiptera	Okinawa	26.4	127.4	accurate	1.2397159923	32	15	0	20.883700746	6.8322639435	0	0.0057079336	1	0.3106729725	13.3839323362	0.7560908715	y
b:musolin-Osaka-Nezara-viridula	newsearch	musolin-Osaka-Nezara-viridula	musolin	2011	japan	3	Nezara	viridula	hemiptera	Osaka	34.7	135.5	accurate	-0.4149299334	33	15	0	126.5068572718	27.6434497099	0	0.0057079336	0.7895815284	0.0704975507	13.1241874482	0.0412999315	y
b:nechols-loveland-chrysopa-oculata	newsearch	nechols-loveland-Chrysopa-oculata	nechols	1987	US	3	Chrysopa	oculata	neuroptera	loveland	40.431269	-105.339661	accurate	0	20	16	0	33.8321010765	12.9873787104	NA	NA	NA	NA	13.396659709	0.2682893796	y
b:nechols-quincy-chrysopa-oculata	newsearch	nechols-quincy-Chrysopa-oculata	nechols	1987	US	3	Chrysopa	oculata	neuroptera	quincy	30.583333	-84.583333	accurate	0	12	14	0	43.1170910044	4.6939121694	NA	NA	NA	NA	12.7772741386	0.0496343869	y
b:nechols-saltillo-chrysopa-oculata	newsearch	nechols-saltillo-Chrysopa-oculata	nechols	1987	US	3	Chrysopa	oculata	neuroptera	saltillo	25.228056	-100.721944	accurate	0	8	14	0	18.5520861556	3.8315739936	NA	NA	NA	NA	10.1341944011	0.1550816237	y
b:paolucci-HAM-Nasonia-vitripennis	newsearch	paolucci-HAM-Nasonia-vitripennis	paolucci	2013	Europe	4	Nasonia	vitripennis	hymenoptera	HAM	53.6065611111	10.1715944444	pop level/ask	0	26	18	0	32.8095928635	5.7323455794	0	0.0025129006	0.9158079038	0.0164795749	14.4803437721	0.0914302389	y
b:paolucci-LAT-Nasonia-vitripennis	newsearch	paolucci-LAT-Nasonia-vitripennis	paolucci	2013	Europe	4	Nasonia	vitripennis	hymenoptera	LAT	56.8562666667	25.2003833333	pop level/ask	0	26	18	0	25.2270660683	5.9407569428	0	0.0025129006	0.9123872935	0.025478494	14.1083525051	0.2156265134	y
b:paolucci-SCH-Nasonia-vitripennis	newsearch	paolucci-SCH-Nasonia-vitripennis	paolucci	2013	Europe	4	Nasonia	vitripennis	hymenoptera	SCH	50.33225	9.5130555556	pop level/ask	0	22	18	0	69.1930292647	204.3747582078	0	0.0025129006	0.5025505863	0.0846782217	13.7947158364	0.733485784	y
b:paolucci-TUR-Nasonia-vitripennis	newsearch	paolucci-TUR-Nasonia-vitripennis	paolucci	2013	Europe	4	Nasonia	vitripennis	hymenoptera	TUR	61.2612583333	22.2233222222	pop level/ask	17.9278442186	21	18	4	18.5773038791	4.7906042542	0	0.0025129006	0.9710276948	0.0166590927	16.015059278	0.4017232005	y
