"pop" "spec" "order" "yi" "upper" "lower" "p" "vi"
"85" "kimura_1993.Baoding.Drosophila.triauraria" "triauraria" "Diptera" 0.314230505955344 0.608078153713185 0.163861661826541 0.858981738467877 0.197328291664077
"86" "kimura_1993.Beijing.Drosophila.triauraria" "triauraria" "Diptera" 0.745331850427009 0.884470245756123 0.583082776803164 0.858886360006543 0.0908344064418708
"87" "kimura_1993.Futatsui.Drosophila.auraria" "auraria" "Diptera" 0.818470313632107 0.903927011273006 0.702115747562226 0.860231309616283 0.040727786160542
"88" "kimura_1993.Futatsui.Drosophila.biauraria" "biauraria" "Diptera" 0.903027114191553 0.935234799091858 0.838652009055086 0.860231309616283 0.0093282353312872
"89" "kimura_1993.Haboro.Drosophila.auraria" "auraria" "Diptera" 0.843653853301285 0.905359162252702 0.737067091976622 0.841852591243874 0.028322220917809
"90" "kimura_1993.Heze.Drosophila.triauraria" "triauraria" "Diptera" 0.711997891314403 0.81730913002392 0.572035364681588 0.914263752566489 0.0601592199652054
"91" "kimura_1993.Imabetsu.Drosophila.auraria" "auraria" "Diptera" 0.852346329312359 0.923794793523366 0.728543859000801 0.8994919568737 0.038122927431935
"92" "kimura_1993.Imabetsu.Drosophila.subauraria" "subauraria" "Diptera" 0.899225306716995 0.929608562707523 0.824264057332014 0.8994919568737 0.0110974648128106
"93" "kimura_1993.Iwanuma.Drosophila.triauraria" "triauraria" "Diptera" 0.628216851160921 0.830434854452969 0.451731602779935 0.838539283908066 0.143416152827729
"94" "kimura_1993.Kagoshima.Drosophila.triauraria" "triauraria" "Diptera" 0.66915418683624 0.8408593877992 0.531898309379826 1.02317153378017 0.0954569479780626
"95" "kimura_1993.Kikonai.Drosophila.auraria" "auraria" "Diptera" 0.81472612652413 0.906254337939236 0.670751606363302 0.904312747224946 0.0554615365797264
"96" "kimura_1993.Kikonai.Drosophila.biauraria" "biauraria" "Diptera" 0.914700330285823 0.948255350942794 0.837653162194154 0.904312747224946 0.0122328441559898
"97" "kimura_1993.Kikonai.Drosophila.subauraria" "subauraria" "Diptera" 0.72395534139075 0.868025014740909 0.548181224313307 0.904312747224946 0.102300050275096
"98" "kimura_1993.Kikonai.Drosophila.triauraria" "triauraria" "Diptera" 0.829190250246382 0.923964878691805 0.715722136683455 0.904312747224946 0.0433650395991562
"99" "kimura_1993.Murakami.Drosophila.biauraria" "biauraria" "Diptera" 0.873894591330093 0.924964376758723 0.789731824056608 0.681194754020742 0.0182878433103303
"100" "kimura_1993.Oita.Drosophila.triauraria" "triauraria" "Diptera" 0.920838633110593 0.968172486834979 0.841045875841999 0.813857636734759 0.0161611752225605
"101" "kimura_1993.Okushiri.Drosophila.auraria" "auraria" "Diptera" 0.846343244527213 0.907364687905929 0.769123408559929 0.889726937868316 0.0191106513152188
"102" "kimura_1993.Okushiri.Drosophila.biauraria" "biauraria" "Diptera" 0.905706335449406 0.93657688092847 0.843576574932383 0.889726937868316 0.00864905691536581
"103" "kimura_1993.Okushiri.Drosophila.subauraria" "subauraria" "Diptera" 0.840210931910138 0.917438442174948 0.666236103290057 0.889726937868316 0.0631026150612396
"104" "kimura_1993.Okushiri.Drosophila.triauraria" "triauraria" "Diptera" 0.844166608121856 0.905587369254356 0.745106059789479 0.889726937868316 0.0257542506875616
"105" "kimura_1993.Oma.Drosophila.biauraria" "biauraria" "Diptera" 0.915584485681827 0.941579972338515 0.860988833579742 0.905071419224326 0.0064949316464358
"106" "kimura_1993.Onuma.Drosophila.triauraria" "triauraria" "Diptera" 0.929966830992127 0.985050872178254 0.795436218332928 0.900494821217612 0.0359537169528828
"107" "kimura_1993.Rishiri.Drosophila.subauraria" "subauraria" "Diptera" 0.771145686643415 0.87991697258497 0.643273549584342 0.890482919185171 0.0560001096494542
"108" "kimura_1993.Sado.Drosophila.biauraria" "biauraria" "Diptera" 0.826351889506444 0.905341324409437 0.72437211242882 0.609454397833588 0.0327498556848855
"109" "kimura_1993.Sakata.Drosophila.biauraria" "biauraria" "Diptera" 0.758029505854671 0.832857451949077 0.676597568197346 0.862265702779746 0.0244171512701045
"110" "kimura_1993.Sapporo.Drosophila.auraria" "auraria" "Diptera" 0.760776849634306 0.890603938454316 0.676070919985163 0.910464778518251 0.0460244160134859
"111" "kimura_1993.Sapporo.Drosophila.biauraria" "biauraria" "Diptera" 0.915131251301776 0.941845553959013 0.848975268500709 0.910464778518251 0.00862488992110687
"112" "kimura_1993.Sapporo.Drosophila.subauraria" "subauraria" "Diptera" 0.87773573748448 0.9237382745895 0.791887723081161 0.910464778518251 0.0173845679330532
"113" "kimura_1993.Sarobetsu.Drosophila.subauraria" "subauraria" "Diptera" 0.874723242414969 0.918834488763576 0.818902214733093 0.888917097159021 0.00998645939290355
"114" "kimura_1993.Setana.Drosophila.biauraria" "biauraria" "Diptera" 0.852024159877377 0.935769906648597 0.718948512790332 0.861149703969654 0.0470115168346409
"115" "kimura_1993.Setana.Drosophila.subauraria" "subauraria" "Diptera" 0.884338786652143 0.920069880250555 0.807354513847632 0.861149703969654 0.0127047538233452
"116" "kimura_1993.Shanghai.Drosophila.triauraria" "triauraria" "Diptera" 0.770667771922249 0.866133210380661 0.661137358480677 1.07591515680489 0.0420232992962002
"117" "kimura_1993.Tobishima.Drosophila.biauraria" "biauraria" "Diptera" 0.865179012546591 0.924828420635924 0.773044662372517 0.781521246436939 0.0230383092725644
"118" "kimura_1993.Wakkanai.Drosophila.auraria" "auraria" "Diptera" 0.863954771470663 0.921746831713175 0.771429935648738 0.877554809672428 0.0225951692424468
"119" "kimura_1993.Yagishiri.Drosophila.auraria" "auraria" "Diptera" 0.872951633265415 0.92586667222574 0.754013562935568 0.868181830828506 0.0295334911726998
"120" "kimura_1993.Yagishiri.Drosophila.subauraria" "subauraria" "Diptera" 0.948675684912816 0.977773512750977 0.908657687021503 0.868181830828506 0.00477699736626703
"121" "kimura_1994. CH.Drosophila.takahashii" "takahashii" "Diptera" 0.569508135365981 0.709056765533831 0.423842064935561 0.749666406645926 0.0813474254373608
"122" "kimura_1994. FT.Drosophila.takahashii" "takahashii" "Diptera" 0.713319985799719 0.833293689187799 0.567176877538226 0.836700146665697 0.0708181574425343
"123" "kimura_1994. KG.Drosophila.takahashii" "takahashii" "Diptera" 0.230320787755996 0.452339690346348 0.112351432077377 1.02026554860337 0.115592015760769
"124" "kimura_1994. KS.Drosophila.takahashii" "takahashii" "Diptera" 0.454525997155943 0.629388348053317 0.298953446631671 1.04972496874977 0.109187224077533
"125" "kimura_1994. SN.Drosophila.takahashii" "takahashii" "Diptera" 0.64001259645231 0.780907372258935 0.476686052069946 0.831843912235928 0.0925506116575314
"126" "kurahashi. Hachijo.Boettcherisca.peregrina" "peregrina" "Diptera" 0.893584486074351 0.931296391575606 0.846567908262597 0.954747479508894 0.00717891588452284
"127" "kurahashi. Nagasaki.Boettcherisca.peregrina" "peregrina" "Diptera" 0.897249673631419 0.924584395537016 0.857478681679011 0.932503082509855 0.00450317683239245
"128" "kurahashi. Omiya.Boettcherisca.peregrina" "peregrina" "Diptera" 0.887574297218251 0.924040241958229 0.842250896020412 0.676667618318226 0.00668949710893589
"129" "kurahashi. Tokunoshima.Boettcherisca.peregrina" "peregrina" "Diptera" 0.744792549549541 0.801869466360361 0.680722823518692 0.999089371954317 0.0146765090718069
"130" "lankinen. Biograd.Drosophila.littoralis" "littoralis" "Diptera" 0.708969900241535 0.87001204005118 0.547847013736846 1.25268312336711 0.103790304180116
"131" "lankinen. Dietikon1.Drosophila.littoralis" "littoralis" "Diptera" 0.812706727729985 0.887113497044965 0.68878403890453 1.78785937417862 0.0393345739662786
"132" "lankinen. Dietikon2.Drosophila.littoralis" "littoralis" "Diptera" 0.731243097966462 0.855227102685063 0.551608845088191 1.78785937417862 0.0921840463461605
"133" "lankinen. Hollola1.Drosophila.littoralis" "littoralis" "Diptera" 0.747211630851242 0.823422779467285 0.63483456347496 1.12750077571227 0.0355655152111678
"134" "lankinen. Krasnodar.Drosophila.littoralis" "littoralis" "Diptera" 0.642165136534592 0.743566960412244 0.513471692589485 1.37011822998613 0.0529438322744272
"135" "lankinen. Kuopio3.Drosophila.littoralis" "littoralis" "Diptera" 0.719910918347902 0.838441631907276 0.503794395261802 1.25194317132578 0.111988772994452
